Year,Month,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2
2017,July,HYDERABAD,COIMBATORE,9297,9164
2017,July,HYDERABAD,CUDDAPAH,1401,1410
2017,July,HYDERABAD,DEHRA DUN,363,353
2017,July,HYDERABAD,DELHI,99221,106824
2017,July,HYDERABAD,GOA,20555,22565
2017,July,HYDERABAD,GUWAHATI,2824,3420
2017,July,HYDERABAD,KOCHI,22732,24151
2017,July,HYDERABAD,KOLKATA,25744,28033
2017,July,HYDERABAD,MUMBAI,89568,98349
2017,July,HYDERABAD,VADODARA,503,433
2017,June,HYDERABAD,AGARTALA,81,231
2017,June,HYDERABAD,AURANGABAD,1668,1838
2017,June,HYDERABAD,BAGDOGRA,0,145
2017,June,HYDERABAD,CHANDIGARH,3705,4108
2017,June,HYDERABAD,CHENNAI,46080,49034
2017,June,HYDERABAD,IMPHAL,168,184
2017,June,HYDERABAD,INDORE,7117,8089
2017,June,HYDERABAD,JABALPUR,2478,2981
2017,June,HYDERABAD,JAIPUR,4837,5716
2017,June,HYDERABAD,LUCKNOW,5116,5126
2017,June,HYDERABAD,MADURAI,2432,2295
2017,June,HYDERABAD,MANGALORE,962,800
2017,June,HYDERABAD,NANDED,909,999
2017,June,HYDERABAD,PATNA,114,0
2017,June,HYDERABAD,PORT BLAIR,599,743
2017,June,HYDERABAD,PUNE,15854,16707
2017,June,HYDERABAD,RAIPUR,7892,9227
2017,June,HYDERABAD,RAJAHMUNDRY,8074,8016
2017,June,HYDERABAD,SURAT,2265,2057
2017,June,HYDERABAD,TIRUPATI,18051,18320
2017,June,HYDERABAD,TRIVANDRUM,2903,4660
2017,June,HYDERABAD,UDAIPUR,0,326
2017,June,HYDERABAD,VARANASI,9999,10428
2017,June,HYDERABAD,VIJAYAWADA,7109,7689
2017,June,HYDERABAD,VISAKHAPATNAM,35354,36256
2017,June,HYDERABAD,AHMEDABAD,17519,18131
2017,June,HYDERABAD,BENGALURU,74310,79310
2017,June,HYDERABAD,BHOPAL,451,934
2017,June,HYDERABAD,BHUBANESWAR,18417,19141
2017,June,HYDERABAD,COIMBATORE,12269,14369
2017,June,HYDERABAD,CUDDAPAH,1276,1204
2017,June,HYDERABAD,DEHRA DUN,826,430
2017,June,HYDERABAD,DELHI,96511,107113
2017,June,HYDERABAD,GOA,19927,22437
2017,June,HYDERABAD,GUWAHATI,2549,2924
2017,June,HYDERABAD,KOCHI,22398,25369
2017,June,HYDERABAD,KOLKATA,26010,26311
2017,June,HYDERABAD,MUMBAI,84031,93425
2017,June,HYDERABAD,VADODARA,412,502
2017,March,HYDERABAD,AGARTALA,131,32
2017,March,HYDERABAD,AURANGABAD,1607,1493
2017,March,HYDERABAD,BAGDOGRA,3798,1017
2017,March,HYDERABAD,CHANDIGARH,3946,3360
2017,March,HYDERABAD,CHENNAI,50733,52474
2017,March,HYDERABAD,INDORE,5852,6967
2017,March,HYDERABAD,JABALPUR,2556,2522
2017,March,HYDERABAD,JAIPUR,11821,11944
2017,March,HYDERABAD,LUCKNOW,4856,4850
2017,March,HYDERABAD,MADURAI,3752,3839
2017,March,HYDERABAD,MANGALORE,2551,2718
2017,March,HYDERABAD,NAGPUR,191,0
2017,March,HYDERABAD,PORT BLAIR,3178,3702
2017,March,HYDERABAD,PUNE,16354,17065
2017,March,HYDERABAD,RAIPUR,9407,11750
2017,March,HYDERABAD,RAJAHMUNDRY,8148,8185
2017,March,HYDERABAD,SRINAGAR,21,0
2017,March,HYDERABAD,TIRUPATI,17882,17858
2017,March,HYDERABAD,TRIVANDRUM,857,532
2017,March,HYDERABAD,UDAIPUR,0,582
2017,March,HYDERABAD,VARANASI,10347,9754
2017,March,HYDERABAD,VIJAYAWADA,10111,11184
2017,March,HYDERABAD,VISAKHAPATNAM,31979,34959
2017,March,HYDERABAD,AHMEDABAD,17221,17335
2017,March,HYDERABAD,BENGALURU,64648,64847
2017,March,HYDERABAD,BHUBANESWAR,24537,21941
2017,March,HYDERABAD,COIMBATORE,13284,14442
2017,March,HYDERABAD,DEHRA DUN,948,476
2017,March,HYDERABAD,DELHI,95827,95820
2017,March,HYDERABAD,GOA,23211,26597
2017,March,HYDERABAD,GUWAHATI,4326,5754
2017,March,HYDERABAD,KOCHI,19280,22142
2017,March,HYDERABAD,KOLKATA,28398,25198
2017,March,HYDERABAD,MUMBAI,77499,76686
2017,March,HYDERABAD,VADODARA,227,471
2017,May,HYDERABAD,AGARTALA,135,122
2017,May,HYDERABAD,AURANGABAD,1880,1896
2017,May,HYDERABAD,BAGDOGRA,0,419
2017,May,HYDERABAD,CHANDIGARH,3872,4368
2017,May,HYDERABAD,CHENNAI,53866,52327
2017,May,HYDERABAD,INDORE,6037,8520
2017,May,HYDERABAD,JABALPUR,2501,2979
2017,May,HYDERABAD,JAIPUR,5073,5347
2017,May,HYDERABAD,LUCKNOW,5262,5302
2017,May,HYDERABAD,MADURAI,2281,2346
2017,May,HYDERABAD,MANGALORE,2086,1741
2017,May,HYDERABAD,NANDED,1043,1201
2017,May,HYDERABAD,PORT BLAIR,601,384
2017,May,HYDERABAD,PUNE,14993,15899
2017,May,HYDERABAD,RAIPUR,7448,9423
2017,May,HYDERABAD,RAJAHMUNDRY,8587,9075
2017,May,HYDERABAD,TIRUPATI,18373,18022
2017,May,HYDERABAD,TRIVANDRUM,3491,4126
2017,May,HYDERABAD,UDAIPUR,0,462
2017,May,HYDERABAD,VARANASI,11152,10305
2017,May,HYDERABAD,VIJAYAWADA,7799,8633
2017,May,HYDERABAD,VISAKHAPATNAM,38235,41838
2017,May,HYDERABAD,AHMEDABAD,18898,20691
2017,May,HYDERABAD,BENGALURU,78089,72935
2017,May,HYDERABAD,BHOPAL,1689,147
2017,May,HYDERABAD,BHUBANESWAR,18143,18872
2017,May,HYDERABAD,COIMBATORE,16652,16937
2017,May,HYDERABAD,CUDDAPAH,1446,1408
2017,May,HYDERABAD,DEHRA DUN,732,603
2017,May,HYDERABAD,DELHI,105850,114562
2017,May,HYDERABAD,GOA,22627,24171
2017,May,HYDERABAD,GUWAHATI,1878,1218
2017,May,HYDERABAD,KOCHI,28549,27151
2017,May,HYDERABAD,KOLKATA,29909,30288
2017,May,HYDERABAD,MUMBAI,90864,97056
2017,May,HYDERABAD,VADODARA,318,432
2017,October,HYDERABAD,AGARTALA,0,127
2017,October,HYDERABAD,AURANGABAD,1502,1687
2017,October,HYDERABAD,BAGDOGRA,0,70
2017,October,HYDERABAD,CHANDIGARH,4121,4084
2017,October,HYDERABAD,CHENNAI,59309,56085
2017,October,HYDERABAD,IMPHAL,190,292
2017,October,HYDERABAD,INDORE,8037,8481
2017,October,HYDERABAD,JABALPUR,2823,2868
2017,October,HYDERABAD,JAIPUR,15811,16749
2017,October,HYDERABAD,LUCKNOW,5123,4726
2017,October,HYDERABAD,MADURAI,2495,2231
2017,October,HYDERABAD,MANGALORE,2775,2709
2017,October,HYDERABAD,NANDED,1022,1072
2017,October,HYDERABAD,PATNA,4136,3755
2017,October,HYDERABAD,PORT BLAIR,290,423
2017,October,HYDERABAD,PUDUCHERRY,1972,1815
2017,October,HYDERABAD,PUNE,18043,21282
2017,October,HYDERABAD,RAIPUR,10631,13139
2017,October,HYDERABAD,RAJAHMUNDRY,7562,7707
2017,October,HYDERABAD,RANCHI,3936,3388
2017,October,HYDERABAD,SHIRDI,1036,1245
2017,October,HYDERABAD,SURAT,2194,2307
2017,October,HYDERABAD,TIRUPATI,18392,18431
2017,October,HYDERABAD,TRIVANDRUM,4275,5591
2017,October,HYDERABAD,UDAIPUR,20,302
2017,October,HYDERABAD,VARANASI,10501,9530
2017,October,HYDERABAD,VIDYANAGAR,939,1329
2017,October,HYDERABAD,VIJAYAWADA,9922,11176
2017,October,HYDERABAD,VISAKHAPATNAM,32767,32714
2017,October,HYDERABAD,AHMEDABAD,17868,19252
2017,October,HYDERABAD,BENGALURU,96495,92816
2017,October,HYDERABAD,BHUBANESWAR,18858,19799
2017,October,HYDERABAD,COIMBATORE,8906,8981
2017,October,HYDERABAD,CUDDAPAH,1162,1194
2017,October,HYDERABAD,DEHRA DUN,346,349
2017,October,HYDERABAD,DELHI,108792,110931
2017,October,HYDERABAD,GOA,19387,20392
2017,October,HYDERABAD,GUWAHATI,3013,3533
2017,October,HYDERABAD,KOCHI,27615,28332
2017,October,HYDERABAD,KOLKATA,38409,36858
2017,October,HYDERABAD,MUMBAI,94694,100719
2017,October,HYDERABAD,VADODARA,535,580
2017,September,HYDERABAD,INDORE,7537,7378
2017,September,HYDERABAD,IMPHAL,275,180
2017,September,HYDERABAD,AGARTALA,0,230
2017,September,HYDERABAD,BAGDOGRA,0,166
2017,September,HYDERABAD,CHANDIGARH,7267,6340
2017,September,HYDERABAD,MANGALORE,3017,2817
2017,September,HYDERABAD,MADURAI,2519,2205
2017,September,HYDERABAD,AURANGABAD,1551,1597
2017,September,HYDERABAD,PORT BLAIR,281,407
2017,September,HYDERABAD,JAIPUR,15868,15675
2017,September,HYDERABAD,JABALPUR,2858,2979
2017,September,HYDERABAD,LUCKNOW,4767,3685
2017,September,HYDERABAD,CHENNAI,53236,51612
2017,September,HYDERABAD,NANDED,1176,1103
2017,September,HYDERABAD,PATNA,4460,3979
2017,September,HYDERABAD,PUNE,16452,18132
2017,September,HYDERABAD,PUDUCHERRY,2070,2030
2017,September,HYDERABAD,RAJKOT,0,85
2017,September,HYDERABAD,RAJAHMUNDRY,7410,7148
2017,September,HYDERABAD,RAIPUR,7630,8637
2017,September,HYDERABAD,SURAT,2257,2198
2017,September,HYDERABAD,TIRUPATI,18520,18597
